"PPLOT","SPLOT","ht_mean","ht_med","ht_dev","dbh_mean","dbh_med","dbh_dev","cod","dom","count","time"
8,3,16.154,14.3,3.50037569412199,23.84,20.1,10.5744030564378,4,1,5,10
8,4,12.0788888888889,11.9,1.29383581304241,16.7666666666667,16.1,3.97712207506886,8,1,9,86
8,4,NA,NA,NA,NA,NA,NA,0,0,0,87
8,4,12.278906715,11.8,2.00516553937545,17.7777777777778,16.9,4.66871978645586,8,1,9,98
8,4,NA,NA,NA,NA,NA,NA,0,0,0,10
9,1,11.2877777777778,11.4,2.49418211934182,19.9333333333333,20.9,7.90585226272285,6,3,9,86
9,1,NA,NA,NA,NA,NA,NA,0,0,0,87
9,1,13.5,13,1.796292478041,25.7,26.1,6.35137780328017,4,3,7,98
9,1,NA,NA,NA,NA,NA,NA,0,0,0,10
9,2,14.1266666666667,15.4,2.65030815818337,23.3,23.7,3.51710107901379,3,0,3,86
9,2,NA,NA,NA,NA,NA,NA,0,0,0,87
9,2,14.3333333333333,15.3,2.40069434400411,30.8666666666667,27.9,8.16476168258041,0,3,3,98
9,2,8.21,7.81,1.16279834881204,12.3333333333333,12.3,0.351188458428424,3,0,3,10
9,3,11.8871428571429,11.9,1.85323783584042,21.6714285714286,20.2,7.4314005601713,5,2,7,86
9,3,NA,NA,NA,NA,NA,NA,0,0,0,87
9,3,13.85,13.85,0.353553390593274,26.05,26.05,6.15182899632296,1,1,2,98
9,3,NA,NA,NA,NA,NA,NA,0,0,0,10
9,4,8.285,8.085,1.51508694850773,12.8214285714286,12.45,3.87142958517484,12,2,14,86
9,4,NA,NA,NA,NA,NA,NA,0,0,0,87
9,4,10.9727272727273,10.7,1.93498884187527,16.1454545454545,15.4,4.58069069821651,8,3,11,98
9,4,NA,NA,NA,NA,NA,NA,0,0,0,10
10,1,14.1,14.1,0.867947771086102,17.6142857142857,16.7,2.09557356621727,4,3,7,86
10,1,NA,NA,NA,NA,NA,NA,0,0,0,87
10,1,14.2,13.6,2.55342906696074,19.1,19.7,1.96977156035922,2,1,3,98
10,1,NA,NA,NA,NA,NA,NA,0,0,0,10
10,2,12.4188888888889,12.9,2.05741612492736,17.4111111111111,17.3,6.88738782929429,8,1,9,86
10,2,NA,NA,NA,NA,NA,NA,0,0,0,87
10,2,14.607501824,13.5,2.92844000543975,20.2666666666667,20.95,3.66205770935777,4,2,6,98
10,2,NA,NA,NA,NA,NA,NA,0,0,0,10
10,3,12.8191666666667,13.05,1.47846639420309,15.85,14.4,5.68850515593428,12,0,12,86
10,3,NA,NA,NA,NA,NA,NA,0,0,0,87
10,3,13.648125,13.35,1.55286357026532,18.2,16.3,6.33629003665169,7,1,8,98
10,3,12.7933333333333,12.945,1.55299905363978,17.3333333333333,16,6.10623129320046,12,0,12,10
10,4,12.07,12.1,1.42635121123017,13.4210526315789,13,3.22638066008069,18,1,19,86
10,4,NA,NA,NA,NA,NA,NA,0,0,0,87
10,4,12.7777777777778,12.5,1.50895475228532,16.7888888888889,15.8,2.83127376124442,8,1,9,98
10,4,NA,NA,NA,NA,NA,NA,0,0,0,10
11,1,14.1909090909091,13.6,1.5122529850885,17.7181818181818,18,3.52812079776704,7,4,11,86
11,1,NA,NA,NA,NA,NA,NA,0,0,0,87
11,1,14.0333333333333,14.1,1.00166528008778,18.4666666666667,17.7,1.50443787951957,2,1,3,98
11,1,9.305,8.585,2.12209465252748,11.9,10,4.53179245521492,7,1,8,10
11,2,11.25,11.05,1.37289960788593,13.3125,12.1,3.88327610830512,13,3,16,86
11,2,NA,NA,NA,NA,NA,NA,0,0,0,87
11,2,12.6,12.65,1.55103651978742,17.1375,16.1,4.27983227308201,5,3,8,98
11,2,NA,NA,NA,NA,NA,NA,0,0,0,10
11,3,13.0166666666667,13.2,1.62527386969555,15.1083333333333,14.65,4.25408003799846,10,2,12,86
11,3,NA,NA,NA,NA,NA,NA,0,0,0,87
11,3,14.2,14.55,1.30274435602034,17.125,15.2,4.28744012869484,7,1,8,98
11,3,NA,NA,NA,NA,NA,NA,0,0,0,10
11,4,12.0592857142857,11.85,1.96832011266818,15.4071428571429,14.5,5.07231767473278,12,2,14,86
11,4,NA,NA,NA,NA,NA,NA,0,0,0,87
11,4,12.3,11.85,1.93112163501701,16.7857142857143,15.5,5.4913718536596,13,1,14,98
11,4,NA,NA,NA,NA,NA,NA,0,0,0,10
12,1,11.5192857142857,11.6,1.14481079582687,13.9214285714286,13.95,3.41809181391484,11,3,14,86
12,1,NA,NA,NA,NA,NA,NA,0,0,0,87
12,1,12.575,12.35,1.3349327528177,15.525,15,3.64096016307387,11,1,12,98
12,1,NA,NA,NA,NA,NA,NA,0,0,0,10
12,2,12.8375,13,1.5792742456132,14.875,14.3,3.09688783873654,8,0,8,86
12,2,NA,NA,NA,NA,NA,NA,0,0,0,87
12,2,12.5153846153846,12.2,1.97983423289517,15.8692307692308,15.2,4.21334875037751,10,3,13,98
12,2,NA,NA,NA,NA,NA,NA,0,0,0,10
12,3,13.3,13.3,0.14142135623731,17.8,17.8,2.26274169979695,0,2,2,86
12,3,NA,NA,NA,NA,NA,NA,0,0,0,87
12,3,12.75,12.8,0.992242638947478,16.15,15.9,2.50435983473186,12,0,12,98
12,3,12.8166666666667,12.275,1.2180187588743,17.2083333333333,16.9,2.08128384038372,12,0,12,10
12,4,12.375,13.05,1.52178623115513,15.6,16.8,4.1198705481281,2,2,4,86
12,4,NA,NA,NA,NA,NA,NA,0,0,0,87
12,4,12.6,12,2.02566861389847,15.6714285714286,14.9,4.60460432093583,6,1,7,98
12,4,NA,NA,NA,NA,NA,NA,0,0,0,10
13,1,5.90029411764706,5.77,0.950382651146744,9.27352941176471,9.1,2.50021924172351,33,1,34,86
13,1,NA,NA,NA,NA,NA,NA,0,0,0,87
13,1,7.07916666666667,6.95,0.930160886815995,11.3125,11.3,2.56045384903604,22,2,24,98
13,1,NA,NA,NA,NA,NA,NA,0,0,0,10
13,2,5.60264705882353,5.41,1.41990462510164,9.01470588235294,8.6,3.20871279326482,26,8,34,86
13,2,NA,NA,NA,NA,NA,NA,0,0,0,87
