"PPLOT","SPLOT","ht_mean","ht_med","ht_dev","dbh_mean","dbh_med","dbh_dev","cod","dom","count","time"
25,4,NA,NA,NA,NA,NA,NA,0,0,0,87
25,4,8.55,8.9,1.30192165662915,13.2772727272727,12,5.37666313744003,19,3,22,98
25,4,NA,NA,NA,NA,NA,NA,0,0,0,10
26,1,NA,NA,NA,NA,NA,NA,0,0,0,86
26,1,11.9,11.9,0.989949493661167,18.75,18.75,1.90918830920368,0,2,2,87
26,1,11.0166666666667,10.1,1.78484359725626,20.2333333333333,20.15,3.85313724991294,4,2,6,98
26,1,NA,NA,NA,NA,NA,NA,0,0,0,10
26,2,NA,NA,NA,NA,NA,NA,0,0,0,86
26,2,11.8,11.8,NA,27.3,27.3,NA,0,1,1,87
26,2,10.44,10.15,1.4660604807897,22.17,21.7,4.97103834447314,7,3,10,98
26,2,NA,NA,NA,NA,NA,NA,0,0,0,10
26,3,NA,NA,NA,NA,NA,NA,0,0,0,86
26,3,7.6,7.6,NA,14.3,14.3,NA,1,0,1,87
26,3,10.1,9.55,2.0743329392499,16.9375,15.4,5.43321464959479,6,2,8,98
26,3,NA,NA,NA,NA,NA,NA,0,0,0,10
26,4,NA,NA,NA,NA,NA,NA,0,0,0,86
26,4,11.05,11.4,1.41067359796659,19.4,20.2,4.28096562315871,2,2,4,87
26,4,12.1333333333333,12.95,1.72007751763305,21.8833333333333,22.8,5.85163794733292,5,1,6,98
26,4,10.405,10.34,1.62084854320199,21.4333333333333,19.75,6.82720049996092,5,1,6,10
27,1,NA,NA,NA,NA,NA,NA,0,0,0,86
27,1,10.7,10.7,0.707106781186548,19.8,19.8,8.06101730552664,2,0,2,87
27,1,11.7875,11.8,1.18495027020426,22.2875,22.75,4.52846158046132,6,2,8,98
27,1,11.5716666666667,10.945,1.69042499587135,25.7,26.15,4.07774447458396,6,0,6,10
27,2,NA,NA,NA,NA,NA,NA,0,0,0,86
27,2,11.85,11.85,0.0707106781186545,22.4,22.4,4.66690475583121,2,0,2,87
27,2,11.5625,10.95,2.25003968218976,21.3375,21.35,3.63276262446561,5,3,8,98
27,2,NA,NA,NA,NA,NA,NA,0,0,0,10
27,3,NA,NA,NA,NA,NA,NA,0,0,0,86
27,3,8.6,8.6,NA,17.3,17.3,NA,1,0,1,87
27,3,11.8,11.4,2.42487113059643,22.1666666666667,24.2,3.87341365378568,2,1,3,98
27,3,NA,NA,NA,NA,NA,NA,0,0,0,10
27,4,NA,NA,NA,NA,NA,NA,0,0,0,86
27,4,12,12,NA,12,12,NA,1,0,1,87
27,4,11.8428571428571,12.4,1.51091268538494,19.8142857142857,18.1,6.77284493927246,7,0,7,98
27,4,NA,NA,NA,NA,NA,NA,0,0,0,10
